기간,Dubai,Brent,WTI
13년09월04일,761.83,792.09,739.15
13년09월05일,761.91,797.33,749.66
13년09월06일,758.92,798.89,760.43
13년09월09일,763.13,783.53,754.59
13년09월10일,747.30,761.47,735.05
13년09월11일,741.21,760.87,733.98
13년09월12일,746.61,770.14,742.58
13년09월13일,746.12,768.39,737.26
13년09월16일,745.86,751.38,727.63
13년09월17일,734.54,736.44,717.59
13년09월18일,726.23,752.85,735.62
13년09월19일,740.59,740.32,724.19
13년09월20일,731.61,743.45,712.48
13년09월23일,721.76,738.28,707.08
13년09월24일,708.60,735.20,697.91
13년09월25일,712.34,732.35,694.09
13년09월26일,710.14,739.68,697.82
13년09월27일,710.32,734.11,695.18
13년09월30일,700.76,733.17,692.30
13년10월01일,699.35,729.99,690.09
13년10월02일,699.77,737.96,703.56
13년10월03일,708.63,736.68,698.22
13년10월04일,709.64,739.85,701.87
13년10월07일,703.01,739.27,694.45
13년10월08일,710.77,741.74,696.83
13년10월09일,712.52,734.34,684.17
13년10월10일,714.99,754.97,695.61
13년10월11일,724.51,752.93,690.27
13년10월14일,724.24,747.67,689.56
13년10월15일,,741.64,682.63
13년10월16일,715.29,744.64,687.08
13년10월17일,716.43,732.34,675.69
13년10월18일,708.46,736.04,674.92
13년10월21일,702.99,731.97,662.40
13년10월22일,712.01,734.59,653.29
13년10월23일,708.87,719.89,646.83
13년10월24일,698.95,710.98,645.32
13년10월25일,694.69,711.05,650.67
13년10월28일,699.98,732.39,659.36
13년10월29일,707.20,727.76,655.59
13년10월30일,705.86,733.09,645.74
13년10월31일,711.00,726.63,643.44
13년11월01일,705.67,706.07,630.73
13년11월04일,695.03,710.00,632.41
13년11월05일,700.85,703.66,623.76
13년11월06일,698.85,702.99,633.25
13년11월07일,684.42,691.10,629.24
13년11월08일,683.38,701.33,631.14
13년11월11일,689.20,711.74,636.42
13년11월12일,695.33,711.12,625.30
13년11월13일,694.74,721.54,632.36
13년11월14일,705.01,732.47,632.73
13년11월15일,705.29,728.38,629.97
13년11월18일,711.80,727.77,624.18
13년11월19일,707.60,713.34,622.74
13년11월20일,698.22,717.61,619.79
13년11월21일,702.74,731.37,634.10
13년11월22일,717.62,741.73,633.46
13년11월25일,712.94,741.19,628.27
13년11월26일,724.21,739.69,624.94
13년11월27일,724.74,742.35,615.56
13년11월28일,725.88,739.76,
13년11월29일,726.04,732.78,619.42
13년12월02일,714.92,742.30,624.88
13년12월03일,720.23,749.24,638.94
13년12월04일,727.29,746.85,648.86
13년12월05일,723.15,740.77,650.00
13년12월06일,721.68,744.63,651.49
13년12월09일,718.38,728.10,647.89
13년12월10일,705.64,724.52,652.52
13년12월11일,704.51,726.23,645.06
13년12월12일,707.55,719.00,645.09
13년12월13일,700.48,721.15,640.11
13년12월16일,702.99,731.74,645.70
13년12월17일,701.34,717.95,643.67
13년12월18일,698.75,725.07,646.83
13년12월19일,703.72,729.86,653.62
13년12월20일,712.72,743.87,661.01
13년12월23일,724.56,745.14,660.64
13년12월24일,723.88,746.77,662.15
13년12월26일,723.67,746.89,663.98
13년12월27일,725.39,747.51,668.48
13년12월30일,722.19,738.39,659.25
13년12월31일,716.08,735.46,653.28
14년01월02일,715.48,715.41,633.50
14년01월03일,695.18,706.21,620.78
14년01월06일,691.46,707.64,619.46
14년01월07일,695.57,717.22,625.82
14년01월08일,699.51,719.72,620.18
14년01월09일,697.73,713.35,614.58
14년01월10일,696.47,718.31,620.99
