,,,10 FT,,,20 FT,,,40 FT,,,기타,,,TEU,,
조회년도,조회월,국적선구분,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계
합계,,,"1,177,373","70,632","1,248,005","22,276,334","5,622,856","27,899,190","29,392,149","6,414,967","35,807,116","149,010","74,293","223,303","81,984,567","18,655,264","100,639,831"
,,국적선,"19,061","1,068","20,129","93,412","24,990","118,402","88,039","19,326","107,365",259,52,311,"279,603","64,293","343,896"
,,외국선,161,57,218,"437,624","103,377","541,001","656,496","117,769","774,265","3,342","1,688","5,030","1,758,216","342,742","2,100,958"
,09,계,"16,842","1,323","18,165","497,595","121,895","619,490","741,266","125,633","866,899","3,493","2,134","5,627","1,996,407","378,624","2,375,031"
,,국적선,"16,678","1,260","17,938","90,198","22,648","112,846","80,693","19,973","100,666",93,120,213,"260,132","63,494","323,626"
,,외국선,164,63,227,"407,397","99,247","506,644","660,573","105,660","766,233","3,400","2,014","5,414","1,736,275","315,130","2,051,405"
,10,계,"23,235","1,560","24,795","552,019","134,597","686,616","798,537","149,893","948,430","3,404","1,729","5,133","2,168,370","439,053","2,607,423"
,,국적선,"23,040","1,506","24,546","89,582","21,733","111,315","86,551","17,324","103,875",200,48,248,"274,654","57,242","331,896"
,,외국선,195,54,249,"462,437","112,864","575,301","711,986","132,569","844,555","3,204","1,681","4,885","1,893,716","381,811","2,275,527"
,11,계,"26,948",850,"27,798","526,922","121,512","648,434","741,002","133,427","874,429","3,065","1,541","4,606","2,029,296","392,258","2,421,555"
,,국적선,"26,763",801,"27,564","96,202","25,865","122,067","94,049","23,414","117,463",280,80,360,"298,312","73,274","371,585"
,,외국선,185,49,234,"430,720","95,647","526,367","646,953","110,013","756,966","2,785","1,461","4,246","1,730,985","318,985","2,049,970"
,12,계,"33,281",868,"34,149","547,663","127,227","674,890","755,597","150,928","906,525","2,876","1,630","4,506","2,081,967","433,185","2,515,151"
,,국적선,"33,106",811,"33,917","95,170","24,303","119,473","88,436","24,258","112,694",35,137,172,"288,674","73,533","362,207"
,,외국선,175,57,232,"452,493","102,924","555,417","667,161","126,670","793,831","2,841","1,493","4,334","1,793,293","359,652","2,152,945"
2022,01,계,"35,394","1,895","37,289","555,214","135,147","690,361","790,031","165,421","955,452","3,990","2,018","6,008","2,161,951","471,477","2,633,428"
,,국적선,"35,248","1,851","37,099","96,509","26,357","122,866","93,860","23,321","117,181",262,48,310,"302,443","74,033","376,475"
,,외국선,146,44,190,"458,705","108,790","567,495","696,171","142,100","838,271","3,728","1,970","5,698","1,859,508","397,445","2,256,953"
,02,계,"23,076","4,067","27,143","464,553","115,646","580,199","674,944","145,659","820,603","3,393","1,250","4,643","1,833,613","411,810","2,245,423"
,,국적선,"22,942","4,033","26,975","90,697","26,175","116,872","92,071","23,656","115,727",304,138,442,"286,994","75,814","362,808"
,,외국선,134,34,168,"373,856","89,471","463,327","582,873","122,003","704,876","3,089","1,112","4,201","1,546,619","335,996","1,882,615"
,03,계,"24,458","2,035","26,493","526,507","127,089","653,596","720,032","156,928","876,960","2,736","1,343","4,079","1,984,956","444,984","2,429,940"
,,국적선,"24,275","1,980","26,255","95,040","27,527","122,567","93,721","21,354","115,075",27,51,78,"294,680","71,340","366,020"
,,외국선,183,55,238,"431,467","99,562","531,029","626,311","135,574","761,885","2,709","1,292","4,001","1,690,276","373,645","2,063,920"
,04,계,"23,630","1,254","24,884","516,471","120,229","636,700","727,474","148,052","875,526","2,303","1,673","3,976","1,988,416","420,724","2,409,140"
,,국적선,"23,477","1,180","24,657","91,301","22,263","113,564","88,056","17,824","105,880",92,91,183,"279,359","58,706","338,064"
,,외국선,153,74,227,"425,170","97,966","523,136","639,418","130,228","769,646","2,211","1,582","3,793","1,709,057","362,019","2,071,076"
,05,계,"19,798","2,924","22,722","547,092","135,960","683,052","767,651","157,640","925,291","2,981","2,554","5,535","2,099,000","458,448","2,557,448"
,,국적선,"19,660","2,846","22,506","95,659","27,543","123,202","104,232","24,201","128,433",89,190,279,"314,153","77,796","391,949"
,,외국선,138,78,216,"451,433","108,417","559,850","663,419","133,439","796,858","2,892","2,364","5,256","1,784,847","380,652","2,165,499"
