■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2022-07-27,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2022   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1205,분홍신,,"41,000",0.0%,41,1,2,영국,영국,
1205,가스등,,"82,000",0.0%,41,1,9,미국,미국,
1216,용과 주근깨 공주,2021-09-29,"340,000",0.0%,40,1,2,일본,일본,와이드 릴리즈(주)
1216,보스 베이비 2,2021-07-21,"360,000",0.0%,40,1,1,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
1216,어머니,,"244,000",0.0%,40,1,2,일본,일본,
1216,SICFF2022 씨네키즈 5 플러스 1,,"291,000",0.0%,40,1,2,기타,기타,
1216,사랑방 손님과 어머니,,"80,000",0.0%,40,1,9,한국,한국,
1216,대무사,2022-01-20,"200,000",0.0%,40,2,2,중국,중국,초코필름
1216,3.5교시,2022-04-14,"128,000",0.0%,40,5,37,한국,한국,(주)드림팩트엔터테인먼트
1223,SIWOLF2022-단편 경쟁3,,"272,000",0.0%,39,1,1,한국,한국,
1223,KQFF2022 [커런트이슈1] 영화로 만나는 드랙,,"333,002",0.0%,39,1,2,기타,기타,
1223,EXiS2022 국내경쟁 6,,"312,000",0.0%,39,1,2,기타,기타,
1223,오후의 유언장,,"244,000",0.0%,39,1,2,일본,일본,
1223,스펠바운드,,"39,000",0.0%,39,1,3,미국,미국,
1223,요조숙녀,,"39,000",0.0%,39,1,2,미국,미국,
1223,노아의 방주 2: 새로운 세계로,2021-12-09,"359,940",0.0%,39,3,8,독일,독일,"(주)대교 미디어콘텐츠사업본부,(주)팝엔터테인먼트"
1223,바쿠라우,2021-09-02,"407,000",0.0%,39,1,2,프랑스,프랑스,(주)영화사 진진
1223,시간의 흐름 속으로,,"285,000",0.0%,39,1,6,독일,독일,
1232,인베이젼 2022,2022-03-09,"158,000",0.0%,38,5,11,중국,중국,(유)조이앤시네마
1232,광주독립영화관 개관 4주년 기획전 - 광주단편신작,,"190,000",0.0%,38,1,1,한국,한국,
1232,파도 위의 소년,,"266,000",0.0%,38,1,1,영국,영국,
1232,라이프보트,,"205,000",0.0%,38,1,3,미국,미국,
1232,시월애,2000-09-09,"304,000",0.0%,38,1,7,한국,한국,브에나비스타인터내셔널코리아
1232,델마와 루이스,1993-11-27,"355,000",0.0%,38,1,4,미국,미국,(주)드림팩트엔터테인먼트
1232,밀루의 어떤 5월,,"211,000",0.0%,38,1,4,프랑스,"프랑스,이탈리아",
1232,사탄의 태양 아래,,"216,000",0.0%,38,1,3,프랑스,프랑스,
1232,"열차 안의 낯선 자들, 의혹의 전망차",,"211,000",0.0%,38,1,3,미국,미국,
1232,34번가의 기적,,"76,000",0.0%,38,1,9,미국,미국,
1232,굿바이 마이 라이프,,"38,000",0.0%,38,1,2,미국,미국,
1232,제니의 초상,,"219,000",0.0%,38,1,4,미국,미국,
1232,흑인 소녀,,"237,000",0.0%,38,1,2,기타,"기타,프랑스",
1232,멀고도 가까운,,"287,000",0.0%,38,1,6,독일,독일,
1232,스프린터,,"266,000",0.0%,38,1,2,한국,한국,
1247,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,2019-05-02,"300,500",0.0%,37,1,3,일본,일본,동우에이앤이(주)
1247,워락,,"74,000",0.0%,37,1,9,미국,미국,
1247,남자들의 계절,,"178,000",0.0%,37,1,1,프랑스,프랑스,
1247,나쁜 피,1994-12-10,"209,000",0.0%,37,1,3,프랑스,프랑스,오드
1247,인디피크닉2022 단편4 : 어둠이 왔을 뿐,,"119,000",0.0%,37,1,3,한국,한국,
1247,파라오,,"74,000",0.0%,37,1,6,미국,미국,
1247,보스의 비밀,,"37,000",0.0%,37,1,1,카자흐스탄,카자흐스탄,
1247,오 즐거운 나의 집,,"111,000",0.0%,37,1,6,한국,한국,
1247,사촌 앙헬리카,,"197,000",0.0%,37,1,3,스페인,스페인,
1247,원폭의 아이,,"237,000",0.0%,37,1,2,일본,일본,
1257,블랙메일,,"183,500",0.0%,36,1,3,영국,영국,
1257,SIWOLF2022-단편 경쟁2,,"251,000",0.0%,36,1,1,한국,한국,
1257,수네 - 여름축제 대소동,,"254,000",0.0%,36,1,2,스웨덴,스웨덴,
1257,꼭두각시,2022-06-15,"439,000",0.0%,36,6,27,한국,한국,(주)더존크리에이티브
1257,유혹당하고 버림받다,,"248,000",0.0%,36,1,2,이탈리아,이탈리아,
1257,싫은 건 아니지만,,"252,000",0.0%,36,1,19,한국,한국,필름다빈
1263,SICFF2022 씨네키즈 10 플러스 1,,"254,000",0.0%,35,1,2,기타,기타,
1263,재키,2017-01-25,"325,000",0.0%,35,1,8,칠레,"칠레,프랑스,미국",그린나래미디어(주)
1263,단지 세상의 끝,2017-01-18,"370,000",0.0%,35,1,3,캐나다,"캐나다,프랑스",(주)엣나인필름
1263,메리 위도우,,"199,000",0.0%,35,1,3,미국,미국,
1263,배신자,2019-11-21,"198,000",0.0%,35,1,3,이탈리아,이탈리아,(주)피터팬픽쳐스
1263,애프터 미투,,"242,000",0.0%,35,1,2,한국,한국,
1263,EXiS2022 국내경쟁 5,,"280,000",0.0%,35,1,2,기타,기타,
1263,말 없는 사나이,,"70,000",0.0%,35,1,7,미국,미국,
1263,에스더의 왕,,"35,000",0.0%,35,1,2,이탈리아,"이탈리아,미국",
1263,12명의 성난 사람들,,"70,000",0.0%,35,1,8,미국,미국,
1263,클로즈업,,"195,000",0.0%,35,1,2,이란,이란,
1263,제3의 사나이,2008-08-09,"35,000",0.0%,35,1,2,미국,미국,
1275,위대한 바들리스,,"197,000",0.0%,34,1,3,미국,미국,
1275,울야는 못말려,,"238,000",0.0%,34,1,1,독일,"독일,룩셈부르크,폴란드",
1275,한니발,,"88,000",0.0%,34,1,2,이탈리아,이탈리아,
1275,SICFF2022 키즈 크리에이티브 8,,"238,000",0.0%,34,1,1,기타,기타,
1275,맹진사댁 경사,,"68,000",0.0%,34,1,9,한국,한국,
1275,나이트 크루징,,"102,000",0.0%,34,1,7,한국,한국,
1275,섹스 앤 퓨리,2022-07-14,"186,000",0.0%,34,4,6,핀란드,핀란드,(주)태양미디어그룹
1275,그레이트 샤크2,2021-12-23,"34,000",0.0%,34,3,34,미국,미국,(유)조이앤시네마
1275,KQFF2022 [국내단편4] NOW OR NEVER,,"306,000",0.0%,34,1,2,한국,한국,
1275,뺑반,2019-01-30,"374,000",0.0%,34,1,1,한국,한국,(주)쇼박스
1275,남의 것이 더 좋아,,"34,000",0.0%,34,1,2,영국,영국,
1275,오팔,,"238,000",0.0%,34,1,2,기타,기타,
1275,기쿠지로의 여름,2002-08-30,"294,000",0.0%,34,1,2,일본,일본,"(주)영화사 진진,(주)튜브엔터테인먼트"
1288,바퀴 2부,,"189,000",0.0%,33,1,2,프랑스,프랑스,
1288,특수부대 코만도,2022-01-25,"35,000",0.0%,33,5,33,기타,기타,(유)조이앤시네마
1288,내가 꿈꾸던 삶은 이런 게 아니었어,,"186,000",0.0%,33,1,3,프랑스,프랑스,
1288,사자자리,,"183,000",0.0%,33,1,3,프랑스,프랑스,
1288,나는 나를 해고하지 않는다,2021-01-28,"315,000",0.0%,33,1,2,한국,한국,(주)영화사 진진
1288,제11회 광주독립영화제: 단편 초청1,,"33,000",0.0%,33,1,1,한국,한국,
1288,더 차일드,2006-01-27,"294,000",0.0%,33,1,6,벨기에,벨기에,"찬란,스폰지"
1288,(2022 작은영화영화제) 어느날의 XXX,,"99,000",0.0%,33,1,1,한국,한국,
1288,잉글리쉬 페이션트,1997-03-15,"191,000",0.0%,33,1,1,미국,미국,(주)영화사오원
1297,오직 사랑하는 이들만이 살아남는다,2014-01-09,"325,000",0.0%,32,1,7,영국,"영국,독일,미국,프랑스",찬란
1297,극장판 원피스 스탬피드,2020-02-13,"224,200",0.0%,32,1,8,일본,일본,(주)스마일이엔티
1297,히치콕 트뤼포,2016-08-25,"185,000",0.0%,32,1,5,프랑스,"프랑스,미국",(주)영화사 안다미로
1297,진실한 사랑,,"64,000",0.0%,32,1,9,미국,미국,
1297,"O, shorts! - 2월",,"352,000",0.0%,32,1,1,한국,한국,
1297,"오,쇼츠! 5월 GV",,"307,000",0.0%,32,1,1,한국,한국,
1297,이터널 로드,2022-05-27,"166,000",0.0%,32,4,8,핀란드,"핀란드,에스토니아,스웨덴",(주)태양미디어그룹
1297,바퀴 1부,,"193,000",0.0%,32,1,2,프랑스,프랑스,
1297,장고,,"223,000",0.0%,32,1,3,,,
1297,찬실이는 복도 많지,2020-03-05,"267,000",0.0%,32,1,13,한국,한국,찬란
1307,오케스트라의 소녀,,"62,000",0.0%,31,1,9,미국,미국,
1307,부드러운 살결,,"156,000",0.0%,31,1,3,프랑스,"프랑스,포르투갈",
1307,행복한 라짜로,2019-06-20,"194,000",0.0%,31,1,3,이탈리아,이탈리아,주식회사 슈아픽처스
1307,영험한 애주가의 전설,,"212,000",0.0%,31,1,2,이탈리아,이탈리아,
1307,말아,,"228,000",0.0%,31,1,2,한국,한국,
1307,황야의 7인,1972-11-02,"62,000",0.0%,31,1,9,미국,미국,
1313,베스트 오퍼,2014-06-12,"360,000",0.0%,30,1,1,이탈리아,이탈리아,(주)박수엔터테인먼트
1313,당신을 기다리는 시간,2016-01-28,"360,000",0.0%,30,1,1,이탈리아,"이탈리아,프랑스",찬란
1313,미시시피의 인어,,"154,000",0.0%,30,1,3,프랑스,"프랑스,이탈리아",
1313,박하사탕,2000-01-01,"220,000",0.0%,30,1,1,한국,한국,"CGV아트하우스,(주)신도필림"
1313,KQFF2022 [해외단편3] 욕망이라는 이름의 전차,,"270,000",0.0%,30,1,3,기타,기타,
1313,로빈 쉬엑 단편선,,"240,000",0.0%,30,1,1,기타,기타,
1313,오발탄,,"30,000",0.0%,30,1,1,한국,한국,
1313,인디피크닉2022 단편5 : Good or Better,,"126,000",0.0%,30,1,1,한국,한국,
1313,에로스: 왕가위 감독 특별판,,"264,000",0.0%,30,1,7,홍콩,홍콩,(주)디스테이션
1313,"사비나: 그리스도를 위한 고난, 나치 시대",2021-11-25,"226,000",0.0%,30,2,17,미국,미국,커넥트픽쳐스(주)
1313,바이올렛 에버가든 – 영원과 자동 수기 인형 -,2020-03-26,"240,000",0.0%,30,1,1,일본,일본,(주)라이크콘텐츠
1313,극장판 바이올렛 에버가든,2020-11-12,"240,000",0.0%,30,1,1,일본,일본,(주)라이크콘텐츠
1313,바퀴 3부,,"170,000",0.0%,30,1,2,프랑스,프랑스,
1313,잘리카투,2021-08-05,"90,000",0.0%,30,1,1,기타,기타,주식회사 슈아픽처스
1313,무스탕: 랄리의 여름,2016-03-17,"192,000",0.0%,30,1,1,프랑스,"프랑스,독일,터키,카타르","(주)미로스페이스,THE 픽쳐스"
1313,아파트 생태계,,"300,000",0.0%,30,1,1,한국,한국,
1329,"가장 따뜻한 색, 블루",2014-01-16,"261,000",0.0%,29,1,2,프랑스,프랑스,판씨네마(주)
1329,오발탄,1961-04-13,"58,000",0.0%,29,1,8,한국,한국,
1329,니모를 찾아서,2003-06-05,"159,000",0.0%,29,1,3,미국,미국,월트디즈니코리아㈜
1329,사라진 여인,,"171,000",0.0%,29,1,3,영국,영국,
1329,KQFF2022 [해외단편4] 포커스 인 트랜스,,"261,000",0.0%,29,1,2,기타,기타,
1329,SICFF2022 넥스트 제너레이션 1,,"210,000",0.0%,29,1,2,기타,기타,
1329,SICFF2022 씨네키즈 14 플러스 2,,"203,000",0.0%,29,1,2,기타,기타,
1329,오오극장 개관 7주년 특별전 - 대구독립단편신작,,"232,000",0.0%,29,1,1,한국,한국,
1329,메모리: 조작살인,2021-12-29,"44,000",0.0%,29,2,29,한국,한국,(주)드림팩트엔터테인먼트
1329,모퉁이,,"94,000",0.0%,29,1,1,한국,한국,(주)영화사 그램
1329,바퀴 4부,,"164,000",0.0%,29,1,2,프랑스,프랑스,
1329,아인,2018-02-28,"377,000",0.0%,29,1,1,일본,일본,판씨네마(주)
1329,경멸,,"164,000",0.0%,29,1,2,프랑스,"프랑스,이탈리아",
1342,"쏘아 올린 불꽃, 밑에서 볼까? 옆에서 볼까?",,"305,000",0.0%,28,1,6,일본,일본,(주)미디어캐슬
1342,돼지우리,,"167,000",0.0%,28,1,3,프랑스,"프랑스,이탈리아",
1342,모데라토 칸타빌레,,"169,000",0.0%,28,1,2,,,
1342,에덴의 동쪽,1973-02-22,"28,000",0.0%,28,1,3,미국,미국,
1342,기문둔갑: 괴소소녀,2021-12-20,"28,000",0.0%,28,3,28,홍콩,홍콩,(유)조이앤시네마
1342,부활: 그 증거,2020-10-08,"168,000",0.0%,28,1,1,한국,한국,(주)영화사 진진
1342,고스트 스토리,2017-12-28,"182,000",0.0%,28,1,3,미국,미국,"(주)리틀빅픽쳐스,주식회사 더쿱"
1349,백조,,"27,000",0.0%,27,1,2,미국,미국,
1349,로렌스 애니웨이,2013-12-19,"313,000",0.0%,27,1,4,캐나다,"캐나다,프랑스",(주)엣나인필름
1349,살고 싶어,,"167,000",0.0%,27,1,2,일본,일본,
1349,"조니, 총을 얻다",,"145,000",0.0%,27,1,4,미국,미국,
1349,하숙인,,"151,000",0.0%,27,1,3,영국,영국,
1349,마리아 칸델라리아,,"144,000",0.0%,27,1,3,멕시코,멕시코,
1349,공작새의 천국,,"187,000",0.0%,27,1,2,이탈리아,"이탈리아,독일",
1349,BIAF2021 부천국제애니메이션페스티벌 기획상영展,,"155,000",0.0%,27,1,10,기타,기타,
1349,완벽한 가족,2021-01-06,"228,000",0.0%,27,1,4,미국,미국,(주)제이앤씨미디어그룹
1349,밤빛,2021-03-04,"154,000",0.0%,27,5,18,한국,한국,영화배급협동조합 씨네소파
1359,암살,2015-07-22,"208,000",0.0%,26,1,7,한국,한국,(주)쇼박스
1359,당나귀 공주,2019-08-22,"247,000",0.0%,26,1,7,프랑스,프랑스,(주)에스와이코마드
1359,즐거운 인생,,"134,000",0.0%,26,1,2,프랑스,"프랑스,이탈리아,스위스",
1359,트랜짓,,"78,000",0.0%,26,1,5,한국,한국,
1359,전쟁 없는 20일,,"131,000",0.0%,26,1,3,러시아,러시아,
1359,황혼기로의 여행,,"175,000",0.0%,26,1,2,이탈리아,"이탈리아,프랑스",
1359,겨울 동행,,"147,000",0.0%,26,1,3,프랑스,프랑스,
1359,피아노 프리즘,,"140,000",0.0%,26,1,3,한국,한국,
1359,인간실격,,"179,000",0.0%,26,1,1,일본,일본,(주)엔케이컨텐츠
1368,그날이 오면,,"50,000",0.0%,25,1,5,미국,미국,
1368,바운티 호의 반란,,"105,500",0.0%,25,1,3,미국,미국,
1368,KQFF2022 [해외단편1] 퀴어 비기닝,,"225,000",0.0%,25,1,2,기타,기타,
1368,SICFF2022 키즈 크리에이티브 3,,"175,000",0.0%,25,1,1,기타,기타,
1368,2022 썸머프라이드시네마- 단편모음1,,"222,000",0.0%,25,1,1,한국,한국,
1368,트리스타나,,"137,000",0.0%,25,1,3,스페인,"스페인,이탈리아,프랑스",
1368,어느 갠 날 아침 갑자기,,"136,000",0.0%,25,1,3,프랑스,"프랑스,스페인,이탈리아",
1368,"집에서, 집으로",,"110,000",0.0%,25,1,1,한국,한국,
1368,미켈란젤로,2021-09-29,"228,000",0.0%,25,1,8,이탈리아,이탈리아,(주)퍼스트런
1368,모리의 정원,2020-03-26,"219,000",0.0%,25,1,9,일본,일본,(주)영화사 진진
1368,일 트로바토레,2020-01-12,"559,600",0.0%,25,4,4,독일,독일,(주)케빈앤컴퍼니
1379,나는 비밀을 알고 있다,,"134,000",0.0%,24,1,3,미국,미국,
1379,4.3과 친구들 - 단편 모음,,"91,000",0.0%,24,1,2,한국,한국,
1379,에듀케이션,2020-11-26,"131,000",0.0%,24,3,7,한국,한국,영화배급협동조합 씨네소파
1382,색다른 여름,,"184,000",0.0%,23,1,1,팔레스타인,"팔레스타인,독일",
1382,EXiS2022 회고전 1 스탠 브래키지,,"184,000",0.0%,23,1,1,미국,미국,
1382,SICFF2022 어른들을 부탁해 2,,"161,000",0.0%,23,1,1,기타,기타,
1382,SICFF2022 키즈 크리에이티브 4,,"161,000",0.0%,23,1,1,기타,기타,
1382,SICFF2022 씨네키즈 5 플러스 3,,"175,000",0.0%,23,1,2,기타,기타,
1382,진홍의 거리,,"117,000",0.0%,23,1,3,미국,미국,
1382,총을 들지 않는 사람들: 금기에 도전,2021-12-09,"161,000",0.0%,23,2,11,한국,한국,(주)스튜디오 보난자
1382,미나리,2021-03-03,"138,000",0.0%,23,1,13,미국,미국,판씨네마(주)
1382,아무도 없는 곳,2021-03-31,"204,000",0.0%,23,1,1,한국,한국,(주)엣나인필름
1382,어느 하녀의 일기,,"115,000",0.0%,23,1,3,프랑스,"프랑스,이탈리아",
1382,암캐,,"126,000",0.0%,23,1,3,프랑스,프랑스,
1382,파리의 장식,,"128,000",0.0%,23,1,3,프랑스,프랑스,
1382,다시 태어나도 우리,2017-09-27,"161,000",0.0%,23,1,1,한국,한국,(주)엣나인필름
1395,야성의 아이,,"129,000",0.0%,22,1,3,프랑스,프랑스,
1395,시몽 시네마의 101일 밤,,"120,000",0.0%,22,1,2,프랑스,"프랑스,영국",
1395,사쿠라부대 지다,,"145,000",0.0%,22,1,2,일본,일본,
1395,오렌지필름 기획전 - HOME SWEET HOME,,"167,000",0.0%,22,1,4,한국,한국,
1395,마티아스와 막심,2020-07-23,"220,000",0.0%,22,1,1,캐나다,캐나다,(주)엣나인필름
1400,인트로덕션,2021-05-27,"171,000",0.0%,21,1,5,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
1400,킬링 카인드: 킬러의 수제자,2021-12-01,"141,000",0.0%,21,3,10,미국,미국,(주)제이앤씨미디어그룹
1400,아라비아의 로렌스,1998-10-24,"124,000",0.0%,21,1,1,영국,영국,
1400,파리로 가는 길,2017-08-03,"252,000",0.0%,21,1,2,미국,미국,(주)티캐스트
1400,더 스퀘어,2018-08-02,"161,000",0.0%,21,1,4,스웨덴,"스웨덴,독일,프랑스,덴마크",아이 엠
1400,까치발,2021-06-03,"124,000",0.0%,21,2,10,한국,한국,(주)시네마달
1406,배달의 만족 : 그여자의 자취방,2022-03-18,"100,000",0.0%,20,1,1,한국,한국,(주)씨맥스커뮤니케이션즈
1406,당신은 나에게 관심이 없다,2022-03-17,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,꼬여버린 부부: 피곤한 유부녀,2022-03-17,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,한 번 할 때마다 새로 피는 꽃,2022-03-17,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,초변태 수리공 길들이기,2022-04-07,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,다섯커플의 결혼해 말어,2022-02-11,"100,000",0.0%,20,1,1,한국,한국,(주)담화
1406,몸짱 시아버지와 젖 큰 새아가,,"100,000",0.0%,20,1,1,한국,한국,
1406,새엄마와 젖 큰 여동생,2022-03-18,"100,000",0.0%,20,1,1,한국,한국,(주)담화
1406,여대생의 풋풋한 섹스 이야기,2022-02-03,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,그녀의 육체 앞에 무너진 이성,2022-02-08,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,짐승남의 거친 사냥법,2022-02-22,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,숫처녀 하숙생,2022-02-03,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,퇴폐의 온상 은밀한 만남,2022-02-08,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,속살 보여준 누나,2022-02-15,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,위기의 여자 하숙생,2022-02-15,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,스릴 넘치는 그녀의 비밀 섹스,2022-02-22,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,몸으로 대출 갚는 유부녀,2022-02-08,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,게스트 하우섹스,2022-02-15,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,맛집:친구 엄마 무삭제,2022-02-15,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,그 남자의 발정 그 여자의 사정,2022-02-22,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,그 남자의 삽입,2022-03-03,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,그녀의 속살을 훔친 도둑,2022-03-24,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,사랑해서 삽입하는 겁니다,2022-03-24,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,파트너 - 격정편 히로와 마모루의 사건부,,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,나와 그녀석의 여행 - 단둘만의 추억,2022-05-13,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,강한척한 연인들 - 보이즈,2022-05-13,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,외간남이 맛본 아내속,2022-02-11,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,구멍을 믿지 마세요,2022-01-21,"100,000",0.0%,20,1,1,한국,한국,(주)이십일세기미디어
1406,소문난 도쿄 구멍동서,2022-02-18,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,매일 섹스 연습 테니스 동호회,2022-01-20,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,단골의 요구: 결혼 전 날 지명한 남자,2022-01-28,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,전직원 모두의 꼭지,,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,섹스의 여신,2022-01-06,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,가정부의 걸레질,2022-01-13,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,속살 깊숙이 위로해 주는 여동생,2022-01-20,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,위험한 그녀들,2022-01-27,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,첫경험이 무려 나나미,,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,억눌린 색욕의 분출,2022-01-06,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,욕망의 골짜기,2022-01-13,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,견딜 수 없는 유혹,2022-01-20,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,그녀의 비밀스러운 성,2022-01-27,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,남편 몰래 세입자 가지 먹기,2022-01-13,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,F컵 농락당하는 여강사,2022-01-18,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,최단거리는 번거로워서2 - 비와 소다수,,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,최단거리는 번거로워서3 - 낙화유수,,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,인류를 위한 번식경쟁 두명 다 줄게,2022-01-25,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,최단거리는 번거로워서-누아르,,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,최단거리는 번거로워서-블랑,,"100,000",0.0%,20,1,1,일본,일본,레인주니어 픽쳐스
1406,스물여덟 마흔아홉,2022-01-04,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,관계 매일 바뀌는 파트너,2022-01-04,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,짖무른 관계: 욕구 해소 부인의 몸,,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,직장 야유회의 목적,2022-01-21,"100,000",0.0%,20,1,1,한국,한국,(주)담화
1406,불여시:일본 여직원의 질투,2019-12-24,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,카페 소사이어티,2016-09-14,"240,000",0.0%,20,1,1,미국,미국,"찬란,CGV아트하우스"
1406,얼굴들,2019-01-24,"216,000",0.0%,20,1,1,한국,한국,(주)시네마달
1406,그레이트 뷰티,2014-06-12,"240,000",0.0%,20,1,1,이탈리아,"이탈리아,프랑스",(주)영화사 진진
1406,웨일 라이더,2004-10-08,"108,000",0.0%,20,1,3,뉴질랜드,뉴질랜드,무비즈엔터테인먼트㈜
1406,안경,2007-11-29,"160,000",0.0%,20,1,1,일본,일본,스폰지
1406,변했다! 내 남자의 맛,2022-05-31,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,남편 친구와 불륜 : 당신 용서하세요,2022-06-02,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,7일의 밤 : 나비가 되기 싫은 애벌레,2022-04-14,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,소리 없이 부서진 행복,2022-04-14,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,무릎팍 보살: 성교부적삼행,2022-06-09,"100,000",0.0%,20,1,1,한국,한국,(주)나우콘텐츠
1406,내 남편을 언니가 후렸다,2022-05-10,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,남의 섹스 보며 젖어버린 여자,2022-04-28,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,팬티까지 젖은 그녀의 유혹,2022-04-28,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,못 참고 삽입한 그날,2022-05-05,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,악마같은 새엄마,2022-05-12,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,불륜 유부녀의 사정,2022-05-05,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,조련당한 육체,2022-05-12,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,부하직원 아내의 맛,2022-05-19,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,가출 유부녀와 집에서..,2022-05-19,"100,000",0.0%,20,1,1,한국,한국,(주)샤이커뮤니케이션즈
1406,몰래 먹는 잠든 친구 여친,2022-05-17,"100,000",0.0%,20,1,1,한국,한국,(주)뮤직엔닷컴
1406,제발 안에다만 하지 마세요,2022-05-12,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,최악의 남자 최고의 절정,2022-05-12,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
1406,동네방네 흘린 유부녀,2022-05-12,"100,000",0.0%,20,1,1,일본,일본,(주)씨맥스커뮤니케이션즈
