■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2022-07-27,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2022   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
153,복지식당,2022-04-14,"47,865,100",0.0%,"6,480",53,855,한국,한국,㈜인디스토리
154,태일이,2021-12-01,"49,288,940",0.0%,"6,466",5,124,한국,한국,(주)리틀빅픽쳐스
155,뿌까의 짜장면파티,2022-07-04,"38,291,500",0.0%,"6,337",18,150,한국,한국,(주)에픽캔
156,굿 보스,2022-02-10,"56,340,220",0.0%,"6,335",85,"1,017",스페인,스페인,(주)디스테이션
157,드라이,2022-03-30,"53,249,980",0.0%,"6,325",110,"1,067",호주,호주,(주)영화사 진진
158,더 노비스,2022-05-25,"53,571,600",0.0%,"6,174",52,795,미국,미국,(주)영화사 진진
159,리디밍 러브,2022-03-23,"48,410,470",0.0%,"6,134",118,935,미국,미국,(주)까멜리아이엔티
160,전투왕,2022-02-17,"62,190,610",0.0%,"6,044",41,519,한국,한국,"(주)씨네포트,주식회사 블루필름웍스"
161,로망스 돌,2022-04-01,"31,168,700",0.0%,"5,949",7,249,일본,일본,(주)미디어캐슬
162,도어맨,2022-03-16,"50,245,300",0.0%,"5,888",130,"1,249",미국,미국,(주)블루라벨픽쳐스
163,극장판 천재 추리 탐정 셜록홈즈,2022-01-27,"50,762,300",0.0%,"5,716",134,"1,170",홍콩,홍콩,(주)넥스트엔터테인먼트월드(NEW)
163,원 세컨드,2022-01-27,"50,859,200",0.0%,"5,716",42,814,중국,중국,찬란
165,걸즈 앤 판처 최종장 제3화,2022-01-12,"55,892,500",0.0%,"5,660",43,"1,078",일본,일본,(주)디스테이션
166,재춘언니,2022-03-31,"35,332,500",0.0%,"5,627",44,501,한국,한국,(주)시네마달
167,벰: 비컴 휴먼,2022-06-16,"27,195,500",0.0%,"5,279",5,184,일본,일본,(주)미디어캐슬
168,애니멀 체인지,2022-02-09,"38,658,440",0.0%,"5,239",155,958,중국,중국,와이드 릴리즈(주)
169,라라랜드,2016-12-07,"42,962,000",0.0%,"5,229",4,109,미국,미국,판씨네마(주)
170,매미소리,2022-02-24,"48,239,770",0.0%,"5,033",70,671,한국,한국,(주)드림팩트엔터테인먼트
171,미친 능력,2022-06-29,"46,030,710",0.0%,"4,852",110,940,미국,미국,(주)제이앤씨미디어그룹
172,해탄적일천,2022-01-06,"45,827,240",0.0%,"4,778",44,755,대만,대만,(주)에이썸엔터테인먼트
173,B컷,2022-03-30,"36,525,500",0.0%,"4,763",84,"1,042",한국,한국,TCO(주)더콘텐츠온
174,BIFAN2022 부천 초이스: 단편 2,,"23,650,000",0.0%,"4,730",1,26,기타,기타,
175,태어나길 잘했어,2022-04-14,"38,873,300",0.0%,"4,663",50,945,한국,한국,그린나래미디어(주)
176,BIFAN2022 엑스라지 4,,"22,540,000",0.0%,"4,508",1,28,기타,기타,
177,사랑 후의 두 여자,2022-03-30,"38,200,180",0.0%,"4,422",55,764,영국,영국,판씨네마(주)
178,블루버스데이,2022-01-19,"46,533,900",0.0%,"4,394",43,465,한국,한국,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
179,퍼스트 러브,2022-05-16,"23,461,800",0.0%,"4,326",8,216,일본,일본,(주)미디어캐슬
180,노웨어 스페셜,2021-12-29,"38,920,400",0.0%,"4,237",58,641,이탈리아,이탈리아,"그린나래미디어(주),(주)인터파크"
181,러브레터,1999-11-20,"43,320,160",0.0%,"4,210",11,265,일본,일본,"(주)제이앤씨미디어그룹,와이드 릴리즈(주),(유)조이앤시네마,(주)팝엔터테인먼트"
182,윤시내가 사라졌다,2022-06-08,"37,204,200",0.0%,"4,065",51,738,한국,한국,"(주)블루라벨픽쳐스,디스트릭 몽"
183,소피의 세계,2022-03-03,"34,648,600",0.0%,"4,061",84,824,한국,한국,찬란
184,프렌치 디스패치,2021-11-18,"42,045,600",0.0%,"3,994",17,257,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
185,내가 처음으로 사랑한 소녀,2022-04-27,"32,764,370",0.0%,"3,808",68,579,홍콩,홍콩,(주)박수엔터테인먼트
186,패왕별희 디 오리지널,2017-03-30,"39,955,300",0.0%,"3,791",2,86,중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
187,펄프 픽션,1994-09-10,"44,611,900",0.0%,"3,720",15,133,미국,미국,
188,파워 오브 도그,2021-11-17,"32,443,500",0.0%,"3,525",60,592,미국,미국,씨제이 씨지브이(CJ CGV)(주)
189,연애 빠진 로맨스,2021-11-24,"29,658,190",0.0%,"3,522",107,432,한국,한국,(주)씨제이이엔엠
190,유어 러브 송,2022-03-16,"25,588,700",0.0%,"3,478",59,653,홍콩,홍콩,(주)다자인소프트
191,아이를 위한 아이,2022-07-21,"30,217,800",0.0%,"3,472",51,354,한국,한국,(주)트리플픽쳐스
192,"구름의 저편, 약속의 장소",2017-02-28,"17,912,700",0.0%,"3,309",5,120,일본,일본,"(주)미디어캐슬,(주)삼지애니메이션"
193,BIFAN2022 엑스라지 3,,"16,530,000",0.0%,"3,306",1,19,기타,기타,
194,약속의 네버랜드,2022-04-07,"23,861,300",0.0%,"3,296",59,568,일본,일본,(주)디스테이션
195,라스트 나잇 인 소호,2021-12-01,"16,463,000",0.0%,"3,253",4,35,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
196,"위대한 계약: 파주, 책, 도시",2022-04-21,"27,535,700",0.0%,"3,247",30,472,한국,한국,(주)영화사 진진
197,완벽한 축사를 준비하는 방법,2022-05-19,"30,249,000",0.0%,"3,219",51,541,프랑스,프랑스,판씨네마(주)
198,피드백,2022-01-05,"24,000,200",0.0%,"3,151",38,295,스페인,스페인,(주)스튜디오 보난자
199,4월은 너의 거짓말,2022-04-20,"30,639,200",0.0%,"3,025",109,844,일본,일본,(주)팝엔터테인먼트
