연도,시군구별,연료별,용도별,승용,승합,화물,특수,계
2015,도봉구,하이브리드(휘발유+전기),비사업용,646,0,0,0,646
2015,도봉구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
2015,도봉구,휘발유,비사업용,17878,8,17,0,17903
2015,도봉구,휘발유,사업용,15,0,0,0,15
2015,도봉구,휘발유(무연),비사업용,28563,14,16,0,28593
2015,도봉구,휘발유(무연),사업용,64,0,0,0,64
2015,도봉구,휘발유(유연),비사업용,3,0,0,0,3
2015,노원구,CNG,비사업용,40,3,11,0,54
2015,노원구,CNG,사업용,2,598,1,0,601
2015,노원구,경유,비사업용,33982,4568,10545,57,49152
2015,노원구,경유,사업용,94,222,1663,218,2197
2015,노원구,기타연료,비사업용,2,33,96,0,131
2015,노원구,기타연료,사업용,0,0,12,0,12
2015,노원구,엘피지,비사업용,12491,1546,1496,1,15534
2015,노원구,엘피지,사업용,6265,0,403,0,6668
2015,노원구,전기,비사업용,13,0,0,0,13
2015,노원구,전기,사업용,1,0,0,0,1
2015,노원구,하이브리드(CNG+전기),사업용,0,18,0,0,18
2015,노원구,하이브리드(LPG+전기),비사업용,109,0,0,0,109
2015,노원구,하이브리드(휘발유+전기),비사업용,1114,0,0,0,1114
2015,노원구,하이브리드(휘발유+전기),사업용,3,0,0,0,3
2015,노원구,휘발유,비사업용,30850,7,33,0,30890
2015,노원구,휘발유,사업용,44,0,0,0,44
2015,노원구,휘발유(무연),비사업용,47841,36,21,0,47898
2015,노원구,휘발유(무연),사업용,203,0,0,0,203
2015,노원구,휘발유(유연),비사업용,3,0,0,0,3
2015,은평구,CNG,비사업용,17,2,14,0,33
2015,은평구,CNG,사업용,11,722,0,0,733
2015,은평구,경유,비사업용,26951,4143,10611,42,41747
2015,은평구,경유,사업용,39,64,1582,165,1850
2015,은평구,기타연료,비사업용,3,23,68,5,99
2015,은평구,기타연료,사업용,0,0,3,0,3
2015,은평구,엘피지,비사업용,9175,1421,1401,0,11997
2015,은평구,엘피지,사업용,3972,0,333,0,4305
2015,은평구,전기,비사업용,12,0,0,0,12
2015,은평구,전기,사업용,6,0,0,0,6
2015,은평구,태양열,비사업용,1,0,0,0,1
2015,은평구,하이브리드(CNG+전기),사업용,0,1,0,0,1
2015,은평구,하이브리드(LPG+전기),비사업용,100,0,0,0,100
2015,은평구,하이브리드(휘발유+전기),비사업용,879,0,0,0,879
2015,은평구,하이브리드(휘발유+전기),사업용,1,0,0,0,1
2015,은평구,휘발유,비사업용,25840,17,31,0,25888
2015,은평구,휘발유,사업용,12,0,0,0,12
